wavenumber_cm-1,IG_DQ,IG_TBZ,IG_THI
1708.9,0.0196,0.0115,0.0155
1710.5,0.0471,0.0251,0.0156
1712.0,0.0445,0.0281,0.0083
1713.5,0.0208,0.0126,0.0052
1715.1,0.0103,0.0091,0.0127
1716.7,0.0361,0.0182,0.0122
1718.2,0.0133,0.0088,0.0070
1719.8,0.0083,0.0081,0.0037
1721.3,0.0308,0.0261,0.0056
1722.8,0.0621,0.0438,0.0121
1724.4,0.0099,0.0069,0.0165
1726.0,0.0277,0.0205,0.0079
1727.5,0.0149,0.0123,0.0079
1729.0,0.0053,0.0074,0.0127
1730.6,0.0167,0.0111,0.0118
1732.2,0.0068,0.0031,0.0028
1733.7,0.0083,0.0090,0.0110
1735.2,0.0239,0.0193,0.0069
1736.8,0.0076,0.0052,0.0054
1738.3,0.0145,0.0152,0.0157
1739.9,0.0870,0.0589,0.0130
1741.5,0.0382,0.0315,0.0094
1743.0,0.0039,0.0043,0.0039
1744.5,0.0258,0.0174,0.0057
1746.1,0.0139,0.0129,0.0037
1747.7,0.0082,0.0071,0.0037
1749.2,0.0565,0.0425,0.0065
1750.8,0.0672,0.0552,0.0084
1752.3,0.0161,0.0134,0.0049
1753.8,0.0325,0.0311,0.0029
1755.4,0.0328,0.0301,0.0067
1757.0,0.0494,0.0448,0.0158
1758.5,0.0129,0.0110,0.0018
1760.0,0.0186,0.0155,0.0025
