condition,True_THI_uM,True_TBZ_uM,True_DQ_uM,THI_NNLS_uM,THI_NNLS_kt_uM,TBZ_NNLS_uM,TBZ_NNLS_kt_uM,DQ_NNLS_uM,DQ_NNLS_kt_uM,THI_PLS_uM,THI_PLS_kt_uM,TBZ_PLS_uM,TBZ_PLS_kt_uM,DQ_PLS_uM,DQ_PLS_kt_uM,THI_MLP_uM,THI_MLP_kt_uM,TBZ_MLP_uM,TBZ_MLP_kt_uM,DQ_MLP_uM,DQ_MLP_kt_uM
DQ24-TB3-TH12,12.0,3.0,24.0,60.651,37.243,1.261,0.774,1.601,0.983,33.206,14.424,20.011,8.692,36.57,15.885,9.637,12.391,8.887,11.427,11.807,15.181
DQ24-TB3-TH24,24.0,3.0,24.0,20.237,45.424,1.106,2.482,1.378,3.094,27.132,25.595,8.173,7.71,18.758,17.696,17.927,25.563,3.804,5.424,14.035,20.014
DQ24-TB6-TH3,3.0,6.0,24.0,2.516,6.748,1.46,3.915,8.328,22.337,3.879,5.767,6.59,9.796,11.729,17.437,4.803,2.59,6.769,3.65,49.628,26.76
DQ24-TB6-TH6,6.0,6.0,24.0,15.947,24.004,1.434,2.159,6.535,9.837,7.426,6.574,6.706,5.936,26.535,23.49,8.323,7.906,10.028,9.525,19.55,18.569
DQ24-TB6-TH12,12.0,6.0,24.0,17.045,27.977,1.031,1.693,7.512,12.33,7.89,13.753,4.32,7.53,11.885,20.717,14.393,12.092,6.415,5.389,29.185,24.519
DQ24-TB6-TH24,24.0,6.0,24.0,20.142,47.967,0.978,2.33,1.555,3.703,21.246,25.671,4.959,5.992,18.485,22.336,21.444,21.607,3.893,3.922,28.257,28.471
DQ24-TB12-TH3,3.0,12.0,24.0,3.224,6.646,2.115,4.36,13.582,27.994,3.884,4.954,12.801,16.327,13.893,17.72,3.329,2.269,13.849,9.442,40.024,27.288
DQ24-TB12-TH6,6.0,12.0,24.0,16.666,24.22,1.511,2.196,10.723,15.584,4.277,4.552,6.567,6.99,28.611,30.457,5.632,4.688,9.645,8.028,35.183,29.284
DQ24-TB12-TH12,12.0,12.0,24.0,24.863,40.266,1.655,2.68,3.12,5.053,11.007,14.657,6.893,9.179,18.146,24.164,13.543,20.739,7.947,12.17,9.855,15.092
DQ24-TB12-TH24,24.0,12.0,24.0,50.935,52.772,1.282,1.328,5.694,5.9,20.176,24.265,5.106,6.141,24.606,29.594,10.675,22.768,7.475,15.942,9.982,21.29
DQ24-TB24-TH3,3.0,24.0,24.0,3.481,8.367,6.971,16.755,10.766,25.878,7.098,6.906,37.656,36.636,7.665,7.458,4.168,4.334,20.357,21.169,24.519,25.497
DQ24-TB24-TH6,6.0,24.0,24.0,10.411,21.659,5.883,12.24,9.662,20.101,8.051,12.446,18.845,29.131,8.037,12.424,6.442,9.308,15.205,21.968,15.729,22.725
DQ24-TB24-TH12,12.0,24.0,24.0,30.904,49.114,1.528,2.429,5.321,8.457,12.829,22.42,8.352,14.596,13.152,22.984,7.708,12.408,12.212,19.658,17.354,27.934
DQ24-TB24-TH24,24.0,24.0,24.0,23.099,57.483,3.076,7.656,2.757,6.861,11.062,23.457,13.352,28.312,9.541,20.232,16.999,29.115,14.016,24.007,11.021,18.878
