DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_nnls_Z2
10,30,60,0.3028
10,32,58,0.2585
10,34,56,0.2155
10,36,54,0.1746
10,38,52,0.1371
10,40,50,0.1041
10,42,48,0.0772
10,44,46,0.0585
10,46,44,0.0498
10,48,42,0.0512
10,50,40,0.0609
10,52,38,0.0771
10,54,36,0.0983
10,56,34,0.1233
10,58,32,0.1511
10,60,30,0.1809
10,62,28,0.2116
10,64,26,0.2424
10,66,24,0.2724
10,68,22,0.3008
10,70,20,0.3279
10,72,18,0.3551
10,74,16,0.3851
10,76,14,0.4217
10,78,12,0.4678
10,80,10,0.5248
10,82,8,0.5914
10,84,6,0.6643
10,86,4,0.7397
10,88,2,0.8149
10,90,0,0.8878
12,0,88,0.7494
12,2,86,0.7245
12,4,84,0.6977
12,6,82,0.6699
12,8,80,0.6416
12,10,78,0.6132
12,12,76,0.5846
12,14,74,0.5556
12,16,72,0.5254
12,18,70,0.4931
12,20,68,0.4583
12,22,66,0.4207
12,24,64,0.3807
12,26,62,0.3388
12,28,60,0.296
12,30,58,0.253
12,32,56,0.211
12,34,54,0.1709
12,36,52,0.1338
12,38,50,0.1008
12,40,48,0.0734
12,42,46,0.053
12,44,44,0.0412
12,46,42,0.0386
12,48,40,0.0446
12,50,38,0.058
12,52,36,0.0774
12,54,34,0.1014
12,56,32,0.1291
12,58,30,0.1595
12,60,28,0.1918
12,62,26,0.225
12,64,24,0.2585
12,66,22,0.2917
12,68,20,0.3245
12,70,18,0.3577
12,72,16,0.3927
12,74,14,0.4319
12,76,12,0.4773
12,78,10,0.5302
12,80,8,0.5901
12,82,6,0.6556
12,84,4,0.7245
12,86,2,0.7953
12,88,0,0.8664
14,0,86,0.714
14,2,84,0.6884
14,4,82,0.661
14,6,80,0.6325
14,8,78,0.6034
14,10,76,0.5737
14,12,74,0.5435
14,14,72,0.5123
14,16,70,0.4797
14,18,68,0.4452
14,20,66,0.4086
14,22,64,0.3701
14,24,62,0.3299
14,26,60,0.2887
14,28,58,0.2473
14,30,56,0.2067
14,32,54,0.1677
14,34,52,0.1313
14,36,50,0.0987
14,38,48,0.0711
14,40,46,0.0496
14,42,44,0.0357
14,44,42,0.03
14,46,40,0.0326
14,48,38,0.0429
14,50,36,0.0599
14,52,34,0.0824
14,54,32,0.1093
14,56,30,0.1397
14,58,28,0.1728
14,60,26,0.2078
14,62,24,0.2441
14,64,22,0.2811
14,66,20,0.3186
14,68,18,0.357
14,70,16,0.397
14,72,14,0.4398
14,74,12,0.4868
14,76,10,0.5388
14,78,8,0.5955
14,80,6,0.656
14,82,4,0.719
14,84,2,0.7839
14,86,0,0.8512
16,0,84,0.6769
16,2,82,0.6505
16,4,80,0.6224
16,6,78,0.5931
16,8,76,0.5629
16,10,74,0.5319
16,12,72,0.5
16,14,70,0.467
16,16,68,0.4327
16,18,66,0.3968
16,20,64,0.3593
16,22,62,0.3206
16,24,60,0.281
16,26,58,0.2413
16,28,56,0.2021
16,30,54,0.1644
16,32,52,0.129
16,34,50,0.097
16,36,48,0.0695
16,38,46,0.0475
16,40,44,0.0321
16,42,42,0.0241
16,44,40,0.0239
16,46,38,0.0313
16,48,36,0.0457
16,50,34,0.0661
16,52,32,0.0917
16,54,30,0.1216
16,56,28,0.155
16,58,26,0.1911
16,60,24,0.2293
16,62,22,0.2692
16,64,20,0.3104
16,66,18,0.3531
16,68,16,0.3976
16,70,14,0.4445
16,72,12,0.4945
16,74,10,0.5478
16,76,8,0.6043
16,78,6,0.663
16,80,4,0.7224
16,82,2,0.7822
16,84,0,0.8436
18,0,82,0.6382
18,2,80,0.6109
18,4,78,0.582
18,6,76,0.5518
18,8,74,0.5205
18,10,72,0.4882
18,12,70,0.455
18,14,68,0.4207
18,16,66,0.3853
18,18,64,0.3487
18,20,62,0.3112
18,22,60,0.2731
18,24,58,0.2349
18,26,56,0.1972
18,28,54,0.1609
18,30,52,0.1266
18,32,50,0.0954
18,34,48,0.0682
18,36,46,0.046
18,38,44,0.0296
18,40,42,0.02
18,42,40,0.0176
18,44,38,0.0224
18,46,36,0.0343
18,48,34,0.0526
18,50,32,0.0765
18,52,30,0.1053
18,54,28,0.1383
18,56,26,0.1748
18,58,24,0.2142
18,60,22,0.2561
18,62,20,0.3002
18,64,18,0.3463
18,66,16,0.3946
18,68,14,0.4454
18,70,12,0.4988
18,72,10,0.5549
18,74,8,0.6134
18,76,6,0.673
18,78,4,0.7322
18,80,2,0.79
18,82,0,0.8471
20,0,80,0.598
20,2,78,0.5699
20,4,76,0.5401
20,6,74,0.5089
20,8,72,0.4766
20,10,70,0.4433
20,12,68,0.4091
20,14,66,0.3741
20,16,64,0.3382
20,18,62,0.3018
20,20,60,0.265
20,22,58,0.2282
20,24,56,0.192
20,26,54,0.157
20,28,52,0.124
20,30,50,0.0937
20,32,48,0.067
20,34,46,0.0448
20,36,44,0.0279
20,38,42,0.0171
20,40,40,0.0129
20,42,38,0.0157
20,44,36,0.0253
20,46,34,0.0414
20,48,32,0.0635
20,50,30,0.0909
20,52,28,0.1231
20,54,26,0.1593
20,56,24,0.1992
20,58,22,0.2423
20,60,20,0.2882
20,62,18,0.3369
20,64,16,0.3881
20,66,14,0.4421
20,68,12,0.4988
20,70,10,0.5581
20,72,8,0.6196
20,74,6,0.6821
20,76,4,0.7438
20,78,2,0.8027
20,80,0,0.8584
22,0,78,0.5566
22,2,76,0.5276
22,4,74,0.4969
22,6,72,0.4648
22,8,70,0.4316
22,10,68,0.3977
22,12,66,0.3631
22,14,64,0.3279
22,16,62,0.2923
22,18,60,0.2567
22,20,58,0.2212
22,22,56,0.1864
22,24,54,0.1528
22,26,52,0.121
22,28,50,0.0917
22,30,48,0.0657
22,32,46,0.0437
22,34,44,0.0265
22,36,42,0.0149
22,38,40,0.0094
22,40,38,0.0104
22,42,36,0.0181
22,44,34,0.0322
22,46,32,0.0524
22,48,30,0.0783
22,50,28,0.1092
22,52,26,0.1448
22,54,24,0.1845
22,56,22,0.2279
22,58,20,0.2749
22,60,18,0.3251
22,62,16,0.3784
22,64,14,0.4348
22,66,12,0.4942
22,68,10,0.5563
22,70,8,0.6208
22,72,6,0.6867
22,74,4,0.7525
22,76,2,0.8152
22,78,0,0.872
24,0,76,0.5141
24,2,74,0.4842
24,4,72,0.4526
24,6,70,0.4198
24,8,68,0.3862
24,10,66,0.3521
24,12,64,0.3176
24,14,62,0.2829
24,16,60,0.2482
24,18,58,0.214
24,20,56,0.1805
24,22,54,0.1482
24,24,52,0.1176
24,26,50,0.0894
24,28,48,0.0642
24,30,46,0.0427
24,32,44,0.0255
24,34,42,0.0133
24,36,40,0.0068
24,38,38,0.0065
24,40,36,0.0125
24,42,34,0.0248
24,44,32,0.0432
24,46,30,0.0674
24,48,28,0.0969
24,50,26,0.1313
24,52,24,0.1703
24,54,22,0.2135
24,56,20,0.2606
24,58,18,0.3116
24,60,16,0.3661
24,62,14,0.424
24,64,12,0.4852
24,66,10,0.5494
24,68,8,0.6161
24,70,6,0.6847
24,72,4,0.7539
24,74,2,0.8217
24,76,0,0.8831
26,0,74,0.4705
26,2,72,0.4397
26,4,70,0.4076
26,6,68,0.3746
26,8,66,0.3411
26,10,64,0.3072
26,12,62,0.2733
26,14,60,0.2396
26,16,58,0.2065
26,18,56,0.1742
26,20,54,0.1432
26,22,52,0.1139
26,24,50,0.0868
26,26,48,0.0626
26,28,46,0.0416
26,30,44,0.0246
26,32,42,0.0122
26,34,40,0.005
26,36,38,0.0035
26,38,36,0.0081
26,40,34,0.0189
26,42,32,0.0357
26,44,30,0.0583
26,46,28,0.0862
26,48,26,0.1192
