DQ,TBZ,THI,subset,imbalance_100x,Ratio_DQ_True,Ratio_TBZ_True,Ratio_THI_True,Ratio_DQ_NNLS,Recovery_DQ_NNLS_pct,Ratio_TBZ_NNLS,Recovery_TBZ_NNLS_pct,Ratio_THI_NNLS,Recovery_THI_NNLS_pct,Ratio_DQ_RF,Recovery_DQ_RF_pct,Ratio_TBZ_RF,Recovery_TBZ_RF_pct,Ratio_THI_RF,Recovery_THI_RF_pct,Ratio_DQ_PLS,Recovery_DQ_PLS_pct,Ratio_TBZ_PLS,Recovery_TBZ_PLS_pct,Ratio_THI_PLS,Recovery_THI_PLS_pct,Ratio_DQ_MLP,Recovery_DQ_MLP_pct,Ratio_TBZ_MLP,Recovery_TBZ_MLP_pct,Ratio_THI_MLP,Recovery_THI_MLP_pct
12,3,12,ternary,0,44.44,11.11,44.44,31.16,70.1,25.36,228.2,43.48,97.8,31.82,71.6,21.58,194.2,46.6,104.8,39.15,88.1,20.5,184.5,40.35,90.8,38.28,86.1,23.71,213.4,38.01,85.5
12,3,24,ternary,0,30.77,7.69,61.54,21.67,70.4,20.16,262.1,58.17,94.5,32.93,107.0,19.03,247.4,48.04,78.1,35.29,114.7,21.3,276.9,43.4,70.5,34.52,112.2,17.35,225.5,48.12,78.2
12,6,3,ternary,0,57.14,28.57,14.29,33.05,57.8,57.23,200.3,9.72,68.0,47.38,82.9,32.24,112.8,20.37,142.6,47.37,82.9,36.46,127.6,16.17,113.2,54.82,95.9,28.6,100.1,16.57,116.0
12,6,6,ternary,0,50.0,25.0,25.0,29.83,59.7,44.89,179.6,25.28,101.1,38.48,77.0,29.2,116.8,32.32,129.3,35.41,70.8,36.96,147.8,27.64,110.6,43.65,87.3,31.58,126.3,24.77,99.1
12,6,12,ternary,0,40.0,20.0,40.0,25.14,62.9,38.01,190.0,36.85,92.1,38.11,95.3,26.08,130.4,35.81,89.5,37.06,92.6,30.1,150.5,32.83,82.1,43.76,109.4,26.84,134.2,29.4,73.5
12,6,24,ternary,0,28.57,14.29,57.14,24.03,84.1,15.14,106.0,60.84,106.5,33.37,116.8,17.46,122.2,49.17,86.0,34.23,119.8,21.38,149.7,44.4,77.7,23.81,83.3,10.48,73.4,65.71,115.0
12,12,3,ternary,0,44.44,44.44,11.11,31.8,71.5,59.56,134.0,8.64,77.8,40.08,90.2,43.4,97.7,16.52,148.7,53.44,120.2,27.2,61.2,19.37,174.3,43.12,97.0,31.28,70.4,25.6,230.4
12,12,6,ternary,0,40.0,40.0,20.0,32.21,80.5,47.26,118.2,20.52,102.6,31.0,77.5,49.49,123.7,19.51,97.5,37.86,94.7,37.61,94.0,24.52,122.6,24.41,61.0,60.95,152.4,14.64,73.2
12,12,12,ternary,0,33.33,33.33,33.33,13.82,41.5,45.79,137.4,40.39,121.2,21.69,65.1,44.09,132.3,34.22,102.7,24.63,73.9,38.95,116.9,36.42,109.3,19.53,58.6,39.04,117.1,41.43,124.3
12,12,24,ternary,0,25.0,25.0,50.0,16.0,64.0,28.25,113.0,55.74,111.5,26.86,107.4,33.81,135.2,39.33,78.7,29.87,119.5,31.64,126.6,38.49,77.0,13.3,53.2,22.48,89.9,64.22,128.4
12,24,3,ternary,0,30.77,61.54,7.69,15.99,52.0,73.16,118.9,10.85,141.0,39.68,129.0,48.85,79.4,11.47,149.1,44.93,146.0,44.4,72.1,10.67,138.7,32.36,105.2,49.03,79.7,18.62,242.1
12,24,6,ternary,0,28.57,57.14,14.29,10.03,35.1,80.76,141.3,9.21,64.5,19.63,68.7,63.81,111.7,16.56,115.9,24.82,86.9,66.84,117.0,8.34,58.4,8.4,29.4,87.31,152.8,4.29,30.0
12,24,12,ternary,0,25.0,50.0,25.0,1.28,5.1,60.43,120.9,38.29,153.2,8.8,35.2,68.26,136.5,22.94,91.8,22.6,90.4,64.22,128.4,13.18,52.7,8.58,34.3,69.84,139.7,21.58,86.3
12,24,24,ternary,0,20.0,40.0,40.0,4.83,24.1,55.15,137.9,40.02,100.1,20.91,104.6,49.74,124.4,29.35,73.4,19.05,95.2,51.11,127.8,29.84,74.6,20.82,104.1,49.81,124.5,29.37,73.4
24,3,3,ternary,0,80.0,10.0,10.0,55.22,69.0,28.01,280.1,16.77,167.7,59.25,74.1,21.77,217.7,18.98,189.8,58.61,73.3,23.52,235.2,17.88,178.8,66.0,82.5,22.52,225.2,11.48,114.8
