condition,substance,E_pixel,thi_share_pct,total_uM
DQ0-TB50-TH150,TBZ,1.0258,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0169,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6432,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4774,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2293,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7863,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6504,75.0,200.0
DQ0-TB50-TH150,TBZ,1.071,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6876,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4465,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1076,75.0,200.0
DQ0-TB50-TH150,TBZ,1.2131,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6728,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6017,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8792,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0697,75.0,200.0
DQ0-TB50-TH150,TBZ,0.847,75.0,200.0
DQ0-TB50-TH150,TBZ,1.048,75.0,200.0
DQ0-TB50-TH150,TBZ,0.797,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9228,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3484,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3706,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1928,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6894,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6174,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7883,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5996,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9913,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2704,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1813,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5947,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3844,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2825,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0342,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0612,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1383,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0655,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1637,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7182,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0647,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2586,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8789,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8004,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4945,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4337,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7957,75.0,200.0
DQ0-TB50-TH150,TBZ,1.2697,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9034,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1899,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1887,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7136,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2952,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1073,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0139,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0341,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2201,75.0,200.0
DQ0-TB50-TH150,TBZ,1.39,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8419,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5438,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5354,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4721,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3395,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5324,75.0,200.0
DQ0-TB50-TH150,TBZ,1.1381,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7837,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2689,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3784,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4131,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9642,75.0,200.0
DQ0-TB50-TH150,TBZ,0.1872,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3329,75.0,200.0
DQ0-TB50-TH150,TBZ,0.069,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0594,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0064,75.0,200.0
DQ0-TB50-TH150,TBZ,0.212,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2874,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3716,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0025,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0476,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7684,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5279,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4943,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9917,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4492,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7322,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4548,75.0,200.0
DQ0-TB50-TH150,TBZ,0.3193,75.0,200.0
DQ0-TB50-TH150,TBZ,0.445,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6397,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0176,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0141,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0165,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0225,75.0,200.0
DQ0-TB50-TH150,TBZ,0.0353,75.0,200.0
DQ0-TB50-TH150,TBZ,0.2076,75.0,200.0
DQ0-TB50-TH150,TBZ,0.7777,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0313,75.0,200.0
DQ0-TB50-TH150,TBZ,0.9796,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6607,75.0,200.0
DQ0-TB50-TH150,TBZ,1.0422,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6774,75.0,200.0
DQ0-TB50-TH150,TBZ,0.8361,75.0,200.0
DQ0-TB50-TH150,TBZ,1.8174,75.0,200.0
DQ0-TB50-TH150,TBZ,2.1011,75.0,200.0
DQ0-TB50-TH150,TBZ,1.9104,75.0,200.0
DQ0-TB50-TH150,TBZ,1.7214,75.0,200.0
DQ0-TB50-TH150,TBZ,1.2804,75.0,200.0
DQ0-TB50-TH150,TBZ,0.5228,75.0,200.0
DQ0-TB50-TH150,TBZ,0.467,75.0,200.0
DQ0-TB50-TH150,TBZ,0.4154,75.0,200.0
DQ0-TB50-TH150,TBZ,0.6498,75.0,200.0
DQ0-TB50-TH150,TBZ,2.0064,75.0,200.0
