DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
19.42,5.47,75.1,pred,DQ333-TB333-TH333,ternary,0.5823
,,,,,,
90.91,0.0,9.09,true,DQ500-TB0-TH50,binary,0.9225
98.22,0.44,1.34,pred,DQ500-TB0-TH50,binary,0.9225
,,,,,,
50.0,0.0,50.0,true,DQ500-TB0-TH500,binary,0.7472
24.72,12.18,63.1,pred,DQ500-TB0-TH500,binary,0.7472
,,,,,,
90.91,9.09,0.0,true,DQ500-TB50-TH0,binary,0.3846
29.37,68.37,2.26,pred,DQ500-TB50-TH0,binary,0.3846
,,,,,,
50.0,50.0,0.0,true,DQ500-TB500-TH0,binary,0.8373
65.26,33.73,1.01,pred,DQ500-TB500-TH0,binary,0.8373
,,,,,,
