DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_mlp_Z2
36,18,46,0.4764
36,20,44,0.476
36,22,42,0.4785
36,24,40,0.4834
36,26,38,0.4904
36,28,36,0.4989
36,30,34,0.5082
36,32,32,0.5179
36,34,30,0.5271
36,36,28,0.5359
36,38,26,0.5442
36,40,24,0.5521
36,42,22,0.5592
36,44,20,0.5655
36,46,18,0.5709
36,48,16,0.5753
36,50,14,0.5789
36,52,12,0.5815
36,54,10,0.5834
36,56,8,0.5847
36,58,6,0.5855
36,60,4,0.5862
36,62,2,0.5878
36,64,0,0.5912
38,0,62,0.6207
38,2,60,0.5912
38,4,58,0.5633
38,6,56,0.538
38,8,54,0.5163
38,10,52,0.4988
38,12,50,0.4859
38,14,48,0.4775
38,16,46,0.4732
38,18,44,0.4725
38,20,42,0.4749
38,22,40,0.4798
38,24,38,0.4868
38,26,36,0.4954
38,28,34,0.5051
38,30,32,0.5153
38,32,30,0.5256
38,34,28,0.5355
38,36,26,0.545
38,38,24,0.5541
38,40,22,0.5625
38,42,20,0.5701
38,44,18,0.577
38,46,16,0.5829
38,48,14,0.5881
38,50,12,0.5926
38,52,10,0.5964
38,54,8,0.5996
38,56,6,0.6022
38,58,4,0.6043
38,60,2,0.6063
38,62,0,0.6092
40,0,60,0.5965
40,2,58,0.5677
40,4,56,0.541
40,6,54,0.5176
40,8,52,0.4984
40,10,50,0.4842
40,12,48,0.4748
40,14,46,0.47
40,16,44,0.469
40,18,42,0.4712
40,20,40,0.476
40,22,38,0.483
40,24,36,0.4917
40,26,34,0.5016
40,28,32,0.5124
40,30,30,0.5234
40,32,28,0.5345
40,34,26,0.5452
40,36,24,0.5556
40,38,22,0.5653
40,40,20,0.5745
40,42,18,0.5828
40,44,16,0.5904
40,46,14,0.5972
40,48,12,0.6034
40,50,10,0.6091
40,52,8,0.6144
40,54,6,0.6191
40,56,4,0.623
40,58,2,0.6261
40,60,0,0.6289
42,0,58,0.5737
42,2,56,0.5458
42,4,54,0.5205
42,6,52,0.4992
42,8,50,0.4831
42,10,48,0.4725
42,12,46,0.467
42,14,44,0.4656
42,16,42,0.4676
42,18,40,0.4723
42,20,38,0.4792
42,22,36,0.488
42,24,34,0.498
42,26,32,0.5091
42,28,30,0.5208
42,30,28,0.5327
42,32,26,0.5446
42,34,24,0.5563
42,36,22,0.5675
42,38,20,0.5782
42,40,18,0.5881
42,42,16,0.5973
42,44,14,0.6058
42,46,12,0.6136
42,48,10,0.621
42,50,8,0.6282
42,52,6,0.6353
42,54,4,0.6415
42,56,2,0.6463
42,58,0,0.6496
44,0,56,0.553
44,2,54,0.5261
44,4,52,0.5025
44,6,50,0.4838
44,8,48,0.4714
44,10,46,0.465
44,12,44,0.4631
44,14,42,0.4648
44,16,40,0.4692
44,18,38,0.4759
44,20,36,0.4844
44,22,34,0.4945
44,24,32,0.5057
44,26,30,0.5178
44,28,28,0.5304
44,30,26,0.5432
44,32,24,0.5561
44,34,22,0.5687
44,36,20,0.5809
44,38,18,0.5925
44,40,16,0.6034
44,42,14,0.6136
44,44,12,0.623
44,46,10,0.6319
44,48,8,0.6407
44,50,6,0.6499
44,52,4,0.659
44,54,2,0.6661
44,56,0,0.6706
46,0,54,0.535
46,2,52,0.5095
46,4,50,0.4879
46,6,48,0.4726
46,8,46,0.4648
46,10,44,0.4622
46,12,42,0.4633
46,14,40,0.4672
46,16,38,0.4734
46,18,36,0.4815
46,20,34,0.4913
46,22,32,0.5023
46,24,30,0.5145
46,26,28,0.5274
46,28,26,0.5409
46,30,24,0.5547
46,32,22,0.5686
46,34,20,0.5823
46,36,18,0.5955
46,38,16,0.6082
46,40,14,0.6201
46,42,12,0.6313
46,44,10,0.6418
46,46,8,0.6519
46,48,6,0.6624
46,50,4,0.6742
46,52,2,0.6848
46,54,0,0.6912
48,0,52,0.5209
48,2,50,0.4975
48,4,48,0.4789
48,6,46,0.4683
48,8,44,0.4642
48,10,42,0.4642
48,12,40,0.4671
48,14,38,0.4724
48,16,36,0.4797
48,18,34,0.4887
48,20,32,0.4992
48,22,30,0.5111
48,24,28,0.524
48,26,26,0.5378
48,28,24,0.5523
48,30,22,0.5671
48,32,20,0.5821
