DQ_pct_X,TBZ_pct_Y,THI_pct_Z,type,condition,subset,accuracy
83.33,16.67,0.0,true,DQ250-TB50-TH0,binary,0.4533
28.66,69.37,1.97,pred,DQ250-TB50-TH0,binary,0.4533
,,,,,,
47.64,4.72,47.64,true,DQ333-TB33-TH333,ternary,0.7471
22.35,9.35,68.29,pred,DQ333-TB33-TH333,ternary,0.7471
,,,,,,
47.64,47.64,4.72,true,DQ333-TB333-TH33,ternary,0.7964
49.21,27.28,23.51,pred,DQ333-TB333-TH33,ternary,0.7964
,,,,,,
33.33,33.33,33.33,true,DQ333-TB333-TH333,ternary,0.7686
25.69,17.84,56.48,pred,DQ333-TB333-TH333,ternary,0.7686
,,,,,,
90.91,0.0,9.09,true,DQ500-TB0-TH50,binary,0.8155
72.45,5.66,21.88,pred,DQ500-TB0-TH50,binary,0.8155
,,,,,,
50.0,0.0,50.0,true,DQ500-TB0-TH500,binary,0.8297
32.97,12.21,54.82,pred,DQ500-TB0-TH500,binary,0.8297
,,,,,,
90.91,9.09,0.0,true,DQ500-TB50-TH0,binary,0.5981
50.72,46.98,2.3,pred,DQ500-TB50-TH0,binary,0.5981
,,,,,,
50.0,50.0,0.0,true,DQ500-TB500-TH0,binary,0.8297
58.8,32.98,8.23,pred,DQ500-TB500-TH0,binary,0.8297
,,,,,,
