DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_nnls_Z2,data_density_alpha
6,68,26,0.7597,0.4519
6,69,25,0.7583,0.4408
6,70,24,0.7572,0.4292
6,71,23,0.7563,0.4171
6,72,22,0.7557,0.4045
6,73,21,0.7553,0.3915
6,74,20,0.7553,0.3780
6,75,19,0.7555,0.3642
6,76,18,0.7561,0.3500
6,77,17,0.7569,0.3356
6,78,16,0.7580,0.3209
6,79,15,0.7594,0.3061
6,80,14,0.7610,0.2912
6,81,13,0.7629,0.2762
6,82,12,0.7651,0.2612
6,83,11,0.7674,0.2463
6,84,10,0.7700,0.2315
6,85,9,0.7728,0.2169
6,86,8,0.7758,0.2027
6,87,7,0.7790,0.1887
6,88,6,0.7823,0.1751
6,89,5,0.7857,0.1619
6,90,4,0.7893,0.1492
6,91,3,0.7931,0.1371
6,92,2,0.7969,0.1254
6,93,1,0.8008,0.1144
6,94,0,0.8048,0.1039
7,0,93,0.6620,0.1129
7,1,92,0.6674,0.1241
7,2,91,0.6727,0.1359
7,3,90,0.6776,0.1483
7,4,89,0.6824,0.1613
7,5,88,0.6869,0.1747
7,6,87,0.6913,0.1887
7,7,86,0.6953,0.2031
7,8,85,0.6992,0.2178
7,9,84,0.7028,0.2329
7,10,83,0.7063,0.2482
7,11,82,0.7095,0.2638
7,12,81,0.7125,0.2794
7,13,80,0.7154,0.2951
7,14,79,0.7180,0.3109
7,15,78,0.7205,0.3265
7,16,77,0.7229,0.3420
7,17,76,0.7251,0.3573
7,18,75,0.7273,0.3723
7,19,74,0.7293,0.3871
7,20,73,0.7313,0.4014
7,21,72,0.7333,0.4154
7,22,71,0.7353,0.4289
7,23,70,0.7372,0.4419
7,24,69,0.7392,0.4544
7,25,68,0.7412,0.4664
7,26,67,0.7433,0.4779
7,27,66,0.7454,0.4887
7,28,65,0.7477,0.4990
7,29,64,0.7500,0.5087
7,30,63,0.7523,0.5179
7,31,62,0.7548,0.5264
7,32,61,0.7573,0.5344
7,33,60,0.7599,0.5418
7,34,59,0.7625,0.5486
7,35,58,0.7651,0.5548
7,36,57,0.7678,0.5606
7,37,56,0.7703,0.5657
7,38,55,0.7729,0.5703
7,39,54,0.7753,0.5744
7,40,53,0.7776,0.5780
7,41,52,0.7797,0.5810
7,42,51,0.7816,0.5836
7,43,50,0.7834,0.5856
7,44,49,0.7848,0.5871
7,45,48,0.7860,0.5881
7,46,47,0.7869,0.5886
7,47,46,0.7875,0.5886
7,48,45,0.7877,0.5881
7,49,44,0.7877,0.5871
7,50,43,0.7873,0.5856
7,51,42,0.7866,0.5836
7,52,41,0.7856,0.5810
7,53,40,0.7843,0.5780
7,54,39,0.7827,0.5744
7,55,38,0.7809,0.5703
7,56,37,0.7789,0.5657
7,57,36,0.7768,0.5606
7,58,35,0.7745,0.5548
7,59,34,0.7721,0.5486
7,60,33,0.7697,0.5418
7,61,32,0.7672,0.5344
7,62,31,0.7648,0.5264
7,63,30,0.7624,0.5179
7,64,29,0.7602,0.5087
7,65,28,0.7580,0.4990
7,66,27,0.7561,0.4887
