variant,subset,n_maps,binary_auc,component,recovery_mean,recovery_sd,recovery_median,mean_abs_recovery_error,within_80_120,macro_mean_recovery,macro_abs_mean_bias,macro_mean_abs_recovery_error
maponly_256_64_bin8train__testpool_mean,ternary,68,,DQ,117.2597855765414,60.83104134742419,97.61922434305751,43.40814241136895,0.4264705882352941,123.42985650200465,23.42985650200464,51.13404975638057
maponly_256_64_bin8train__testpool_mean,ternary,68,,TBZ,148.80517646431045,105.1244497600544,129.27435621817276,66.50309182237216,0.23529411764705882,123.42985650200465,23.42985650200464,51.13404975638057
maponly_256_64_bin8train__testpool_mean,ternary,68,,THI,104.22460746516207,57.10753032505956,86.14218685462536,43.49091503540062,0.3382352941176471,123.42985650200465,23.42985650200464,51.13404975638057
maponly_256_64_bin8train__testpool_bin8,all,89,,DQ,108.58813371668704,64.85200332140977,92.18114282175057,46.622945516135474,0.35365853658536583,122.37680179040923,22.376801790409232,53.94415285770623
maponly_256_64_bin8train__testpool_bin8,all,89,,TBZ,146.44346062255053,109.87983853765284,125.4096661863741,68.74770825496256,0.24390243902439024,122.37680179040923,22.376801790409232,53.94415285770623
maponly_256_64_bin8train__testpool_bin8,all,89,,THI,112.09881103199012,67.48543823951988,91.39883367648692,46.461804802020666,0.32926829268292684,122.37680179040923,22.376801790409232,53.94415285770623
maponly_256_64_bin8train__testpool_bin8,binary,21,0.9081632653061225,DQ,102.34427534468925,93.80789322043837,65.0702004337794,67.88241330380534,0.14285714285714285,123.43668664648332,23.436686646483306,71.07862924621385
maponly_256_64_bin8train__testpool_bin8,binary,21,0.9081632653061225,TBZ,143.11212486831937,146.357179336721,83.23661785007104,93.32532444482241,0.21428571428571427,123.43668664648332,23.436686646483306,71.07862924621385
maponly_256_64_bin8train__testpool_bin8,binary,21,0.9081632653061225,THI,124.8536597264413,90.90130564097022,100.21803585446023,52.02814999001382,0.35714285714285715,123.43668664648332,23.436686646483306,71.07862924621385
maponly_256_64_bin8train__testpool_bin8,ternary,68,,DQ,109.87363396974538,58.02871482169414,92.31231285272574,42.24599626573287,0.39705882352941174,122.15859020239397,22.158590202393977,50.41646654242526
maponly_256_64_bin8train__testpool_bin8,ternary,68,,TBZ,147.12932386606875,102.16368371294833,130.6036638431952,63.687610804109056,0.25,122.15859020239397,22.158590202393977,50.41646654242526
maponly_256_64_bin8train__testpool_bin8,ternary,68,,THI,109.4728127713678,62.14221692009908,88.6970898117446,45.31579255743385,0.3235294117647059,122.15859020239397,22.158590202393977,50.41646654242526
maponly_256_64_bin8train__testpool_trimmed10,all,89,,DQ,115.55395473887964,67.87401785587609,97.43850402078382,48.65098422570455,0.32926829268292684,122.95990282325938,22.959902823259394,55.397650727645754
maponly_256_64_bin8train__testpool_trimmed10,all,89,,TBZ,149.65766857400013,115.2823476386084,123.87305412964778,73.15414939074267,0.21951219512195122,122.95990282325938,22.959902823259394,55.397650727645754
maponly_256_64_bin8train__testpool_trimmed10,all,89,,THI,103.66808515689841,61.08895940867252,86.84261554762513,44.38781856649004,0.34146341463414637,122.95990282325938,22.959902823259394,55.397650727645754
maponly_256_64_bin8train__testpool_trimmed10,binary,21,0.891156462585034,DQ,105.93750814958413,96.41220915226145,70.097974769151,69.87368258854704,0.14285714285714285,122.7031430274006,22.703143027400603,74.1872288605645
maponly_256_64_bin8train__testpool_trimmed10,binary,21,0.891156462585034,TBZ,153.8693518332325,157.42241747519478,85.45184664036492,102.35840242980153,0.21428571428571427,122.7031430274006,22.703143027400603,74.1872288605645
maponly_256_64_bin8train__testpool_trimmed10,binary,21,0.891156462585034,THI,108.30256909938517,78.60376975908888,94.21850469265357,50.32960156334491,0.2857142857142857,122.7031430274006,22.703143027400603,74.1872288605645
maponly_256_64_bin8train__testpool_trimmed10,ternary,68,,DQ,117.53381138961694,61.1771552944173,99.76110805535367,44.28160515100168,0.36764705882352944,123.0127651341715,23.0127651341715,51.529208170868365
maponly_256_64_bin8train__testpool_trimmed10,ternary,68,,TBZ,148.7905573147464,106.0856104721826,129.67226798692394,67.14150905917174,0.22058823529411764,123.0127651341715,23.0127651341715,51.529208170868365
maponly_256_64_bin8train__testpool_trimmed10,ternary,68,,THI,102.71392669815116,57.51014799476024,86.5208415187704,43.16451030243168,0.35294117647058826,123.0127651341715,23.0127651341715,51.529208170868365
