baseline,component,fold,intercept_log10,model,multiplicative_factor,ratio_slope,slope_log10,total_slope
pie_partition_raw_signal,TBZ,4,1.0256109673923877,power_huber,10.60744936664706,,1.259780191319024,
pie_partition_raw_signal,TBZ,4,0.7043619692744956,competition_ridge,5.062464249210535,0.4319914949091471,0.5677702352112373,0.5054015575531973
pie_partition_raw_signal,THI,4,0.7644353371854878,constant_factor,5.813468681798628,,1.0,
pie_partition_raw_signal,THI,4,0.8295988368664677,power_huber,6.7545875760802305,,0.8399118371561768,
pie_partition_raw_signal,THI,4,0.8274462943430353,competition_ridge,6.721191884732487,0.08837944503635538,0.6474836787114596,0.12051724718412882
pie_partition_raw_signal,DQ,5,1.2829156724418493,constant_factor,19.18296226283348,,1.0,
pie_partition_raw_signal,DQ,5,1.1947104416887817,power_huber,15.657068141722236,,0.6485528599026498,
pie_partition_raw_signal,DQ,5,0.3954837459255487,competition_ridge,2.485900524205804,1.1998361696678257,0.21411645871500296,0.6626670440547208
pie_partition_raw_signal,TBZ,5,0.8719491250207427,constant_factor,7.446447381565113,,1.0,
pie_partition_raw_signal,TBZ,5,0.8888773810860439,power_huber,7.742431667498075,,1.3067084966910452,
pie_partition_raw_signal,TBZ,5,0.5060039260203646,competition_ridge,3.206298309298237,0.2844771933542122,0.6346781862255182,0.644909366633702
pie_partition_raw_signal,THI,5,0.7459213652804753,constant_factor,5.570848722673803,,1.0,
pie_partition_raw_signal,THI,5,0.8085230930240296,power_huber,6.434622793225214,,0.8547477127093366,
pie_partition_raw_signal,THI,5,0.6946070443097667,competition_ridge,4.950021033266522,-0.0071303546125769555,0.54265120073232,0.35507152810736753
pie_partition_above_intercept,DQ,1,1.0244433129283685,constant_factor,10.578968230905085,,1.0,
pie_partition_above_intercept,DQ,1,0.9525095207177615,power_huber,8.964158371981034,,1.1386932687489177,
pie_partition_above_intercept,DQ,1,0.09827717328679464,competition_ridge,1.2539412038026498,1.1318187263770574,0.2641033325574175,0.9009053622177573
pie_partition_above_intercept,TBZ,1,0.987612518108038,constant_factor,9.718797160060856,,1.0,
