method,subset,n_maps,n_present,recovery_mean_pct,recovery_median_pct,recovery_q1_pct,recovery_q3_pct,median_abs_recovery_error_pct,mean_abs_recovery_error_pct,within_80_120_pct,within_70_130_pct,within_1_5x_pct,mae_uM,euclidean_mean_uM,false_positive_mean_uM,pearson_r,spearman_r,r2_linear,ccc
direct_band_calibration__competition_ridge,low_grid64,64,192,202.98168068911923,144.43281492025073,106.50650543008422,247.356573551013,49.52247156160752,114.52896652502471,21.354166666666664,30.729166666666668,45.83333333333333,8.929075964578699,18.467774304039217,0.0,0.6150618895255832,0.6277713752732992,-3.1340548627052183,0.355612922151785
direct_band_calibration__competition_ridge,max100,64,192,202.98168068911923,144.43281492025073,106.50650543008422,247.356573551013,49.52247156160752,114.52896652502471,21.354166666666664,30.729166666666668,45.83333333333333,8.929075964578699,18.467774304039217,0.0,0.6150618895255832,0.6277713752732992,-3.1340548627052183,0.355612922151785
direct_band_calibration__competition_ridge,binary,21,42,36.69574913423941,20.085010329710293,10.162724421516488,43.29663696683866,79.91498967028971,71.08984167985524,2.380952380952381,9.523809523809524,16.666666666666664,178.81475667626603,299.26562398732017,18.309035962310812,0.3532864770574593,0.33088347910136956,-0.7369439563280087,0.0907011432907137
direct_band_calibration__competition_ridge,ternary,68,204,192.62629823345466,139.37560854897572,97.2898295453,231.2768493118288,53.85405694083285,112.08960502691612,20.588235294117645,29.411764705882355,43.627450980392155,20.573020313245948,41.592245225128956,0.0,0.5885157476768266,0.6211989308007819,0.1815646966057013,0.2706754554596341
direct_band_calibration__competition_ridge,high_absolute,25,54,34.52784464725766,19.132769908972342,9.677428153023293,43.321263475030555,80.86723009102765,71.52761487481595,3.7037037037037033,9.25925925925926,14.814814814814813,185.0506173908562,317.2365289433593,18.309035962310812,0.37026505515899444,0.3317619737361721,-0.9204572054844982,0.08951054118742066
pie_partition_raw_signal__constant_factor,all89,89,246,133.69204550835795,103.6299277488772,51.34179888040474,169.73346324287675,57.96481631289852,84.082646121451,17.073170731707318,24.796747967479675,37.39837398373984,46.683855678609184,101.46712679964949,6.171305805332284,0.5374423923970649,0.4133684274027543,0.11960645619726085,0.47415933386894954
pie_partition_raw_signal__constant_factor,low_grid64,64,192,158.5923609896411,131.8133127850266,78.2065633635311,179.9286249422095,47.988881248889186,84.17697152720173,20.3125,30.208333333333332,46.35416666666667,8.635988238996433,20.494268639186945,0.0,0.568118319586826,0.5477555298776396,-15.293194324525732,0.1332897947474368
pie_partition_raw_signal__constant_factor,max100,64,192,158.5923609896411,131.8133127850266,78.2065633635311,179.9286249422095,47.988881248889186,84.17697152720173,20.3125,30.208333333333332,46.35416666666667,8.635988238996433,20.494268639186945,0.0,0.568118319586826,0.5477555298776396,-15.293194324525732,0.1332897947474368
pie_partition_raw_signal__constant_factor,binary,21,42,46.50359328815276,16.03152023454057,6.4540460575115945,44.71655098371562,85.77023626360528,84.598731652534,4.761904761904762,4.761904761904762,4.761904761904762,175.46063293140722,286.9561485193076,6.171305805332284,0.47743906357900406,0.4240420433607472,-0.5787127949191908,0.30547686470279395
pie_partition_raw_signal__constant_factor,ternary,68,204,151.6426092007531,128.0936097498711,74.5791662859558,174.59931873644348,49.316298305358885,83.97639321799274,19.607843137254903,28.921568627450984,44.11764705882353,20.170989773621358,44.18375244504915,0.0,0.5004223405098787,0.45171431919008037,-0.02381156169171761,0.4795201592485665
pie_partition_raw_signal__constant_factor,high_absolute,25,54,45.15759046379563,14.461043451101768,6.002870452659504,44.71655098371562,86.52892814617837,83.74726690100398,5.555555555555555,5.555555555555555,5.555555555555555,181.9651621305657,308.75764369043355,6.171305805332284,0.45619284371087593,0.43948372123918955,-0.8021902665775105,0.29162200697838014
