sample,row,col,x_um,y_um,ink2137,DQ_1179,DQ_1521,DQ_1576,DQ,DQ_over_ink,TBZ_779,TBZ_1011,TBZ_1549,TBZ,TBZ_over_ink,THI_556,THI_1138,THI_1365,THI,THI_over_ink
leaf_dq,2,6,300,100,12818.5,6375.68,10381.9,16003.1,10920.2,0.851913,2886.4,1311.81,14060.6,6086.28,0.474804,7389.65,6451.93,4743.74,6195.11,0.483295
leaf_dq,2,5,250,100,13164.8,7744.95,15898.3,20412,14685.1,1.11548,1326.34,2230.54,14695.3,6084.07,0.462146,4817.81,8196.49,4527.15,5847.15,0.44415
leaf_dq,2,4,200,100,13547.5,5662.09,7954.44,19722.9,11113.1,0.820308,4298.87,2862.54,7003.59,4721.67,0.348526,3104,3169.42,4283.79,3519.07,0.259758
leaf_dq,2,3,150,100,12742.1,6631.44,10396.8,22304.3,13110.9,1.02894,4252.35,2331.22,9887.37,5490.32,0.430879,3643.35,2404.15,4539.77,3529.09,0.276962
leaf_dq,2,2,100,100,12521.5,7528.74,11207.6,21555.4,13430.6,1.0726,4336.75,2910.75,8738.58,5328.69,0.425564,3283.12,3325.25,3151.44,3253.27,0.259815
leaf_dq,2,1,50,100,25464.1,8487.78,12304.4,25518.1,15436.8,0.606216,2399.38,4196.95,11441,6012.43,0.236114,3423.93,7053.61,5973.3,5483.62,0.215347
leaf_dq,2,0,0,100,17867.5,5687.85,11661.9,26326.2,14558.6,0.81481,3079.27,2256.28,8632.48,4656.01,0.260585,3399.81,2153.36,3528.2,3027.12,0.16942
leaf_dq,1,0,0,50,27680.5,14153,20316.2,45890.8,26786.7,0.967709,4559.32,4132.27,14545.5,7745.71,0.279826,4511.93,3470.72,6633.93,4872.19,0.176015
leaf_dq,1,1,50,50,13661,6807.54,8840.22,20443.8,12030.5,0.880647,3485.23,2082.87,8380.55,4649.55,0.340352,3327.11,3779.43,3609.4,3571.98,0.261473
leaf_dq,1,2,100,50,15513.3,6044.11,9869.67,18326.7,11413.5,0.735722,1979.4,2889.52,12354.9,5741.28,0.370087,4785.98,6225.27,5354.24,5455.16,0.351644
leaf_dq,1,3,150,50,14421.7,11690.3,13984.2,32791.1,19488.6,1.35133,5079.73,2458.48,10372,5970.06,0.413963,3952.41,1626.47,6903.36,4160.74,0.288505
leaf_dq,1,4,200,50,23131.9,9611.2,12072.2,28225.6,16636.3,0.719194,4212.49,2110.21,10868.2,5730.3,0.247723,3754.44,879.344,3002.21,2545.33,0.110036
leaf_dq,1,5,250,50,12026.9,5637.08,8218.83,13412.8,9089.57,0.755772,3274.97,2650.16,5746.72,3890.62,0.323493,3345.55,4520.98,5454.28,4440.27,0.369196
leaf_dq,1,6,300,50,15891.6,5191.73,8539.09,18369.5,10700.1,0.67332,2516.7,1729.7,10858,5034.81,0.316823,4437.52,3503.94,4353.87,4098.44,0.257901
leaf_dq,1,7,350,50,17829.6,11695,13872,23615.8,16394.3,0.919496,4994.57,5925.95,11030.8,7317.11,0.410391,3170.25,4099.51,4412.77,3894.18,0.218411
leaf_dq,1,8,400,50,11484.2,7444.22,9040.83,17698.9,11394.6,0.9922,2658.45,1324.05,9510.02,4497.5,0.391625,2514.56,4586.62,3275.29,3458.82,0.301181
leaf_dq,1,9,450,50,16321.4,8231.07,12111.6,23406.1,14582.9,0.893488,2784.5,1121.43,11274.9,5060.29,0.310041,2389.01,5410.58,4102.54,3967.38,0.243079
leaf_dq,0,9,450,0,18462.2,9980.41,14839.8,27803.5,17541.3,0.950118,3104.05,1578.44,13917,6199.84,0.335813,3746.74,5739.98,4527.51,4671.41,0.253026
leaf_dq,0,8,400,0,28982.7,10815.6,23425.9,53894.9,29378.8,1.01367,7793.13,6809.54,46590.6,20397.8,0.703791,10161.1,9159.7,20710.4,13343.7,0.460403
leaf_dq,0,7,350,0,19073.2,8105.74,12454.2,29199.8,16586.6,0.869626,3270.89,4045.58,22256.8,9857.77,0.516838,7387.77,6864.11,9956.99,8069.62,0.423086
leaf_dq,0,6,300,0,11450.7,8696.59,12139.5,22954.9,14597,1.27477,3855.45,2038.6,16046.6,7313.55,0.638701,6024.77,6359.74,6549.77,6311.43,0.551184
leaf_dq,0,5,250,0,17213.1,9758.5,14717.7,27406,17294.1,1.0047,2827.38,2645.67,11547.1,5673.38,0.329597,3149.98,2252.91,5854.07,3752.32,0.217992
leaf_dq,0,4,200,0,37696.6,14096.8,21645.3,50239.7,28660.6,0.760298,5238.68,3657.1,17332.5,8742.77,0.231925,4130.09,2201.3,7326.16,4552.51,0.120767
leaf_dq,0,3,150,0,19107.1,10849.7,21958.8,39726.7,24178.4,1.26542,4218.83,4348.53,32733.8,13767,0.720521,9731.45,7648.02,11818.7,9732.72,0.509378
leaf_dq,0,2,100,0,10842.5,11169.1,16120,25134.8,17474.6,1.61167,1660,1594.72,16616.2,6623.63,0.610893,4448.32,4064.89,4488.12,4333.78,0.399701
leaf_dq,0,1,50,0,10234.9,6227.68,12036.8,19043.4,12436,1.21505,2917.45,1338.67,14871.3,6375.81,0.622947,4294.01,4256.69,2367.38,3639.36,0.355582
leaf_dq,0,0,0,0,10116.7,7075.84,8978.23,21508,12520.7,1.23763,2529.85,2824.82,11927.6,5760.77,0.569434,4519.49,2818.99,5494.08,4277.52,0.42282
leaf_tb1,9,0,0,450,33209.3,1324.33,7709.95,38872.9,15969.1,0.480862,26765.5,47746.6,29461.2,34657.8,1.04362,6590.67,8727.19,2812.67,6043.51,0.181983
leaf_tb1,9,1,50,450,34386.3,3067.45,9143.66,41765.1,17992.1,0.523233,30600.3,53184.6,30504.2,38096.4,1.10789,7518.52,2877.69,3114.46,4503.56,0.130969
leaf_tb1,9,2,100,450,24727.2,10403,16563.4,41796.9,22921.1,0.92696,11700.5,6131.97,35698.7,17843.7,0.721624,6254.21,7120.95,14459.3,9278.15,0.375221
leaf_tb1,9,3,150,450,20101.8,773.102,5477.91,25502.5,10584.5,0.526547,13828.3,21732.9,19542.1,18367.8,0.913739,3297.99,3575.82,2126.06,2999.96,0.149239
leaf_tb1,9,4,200,450,22206.7,9424.36,14947.7,38707.8,21026.6,0.946861,12035,4657.51,35450.2,17380.9,0.782689,4177.14,7059.14,13426.3,8220.87,0.370198
leaf_tb1,9,5,250,450,28188.8,8351.53,11640.5,36050.2,18680.8,0.662702,9113,4383.27,31817.6,15104.6,0.535838,8902.77,8289.1,14782.8,10658.2,0.378101
leaf_tb1,9,6,300,450,25649.9,3740.11,3927.24,21930.2,9865.86,0.384635,11329.8,14974,15358.4,13887.4,0.541422,4404.17,3924.53,4322.48,4217.06,0.164409
leaf_tb1,9,7,350,450,22236.5,10452.6,16551.8,41434.1,22812.8,1.02592,6427.81,4502.3,35724.5,15551.5,0.699369,7483.39,7477.76,12196,9052.4,0.407096
leaf_tb1,9,8,400,450,14779.2,2895.09,5379.29,8948.38,5740.92,0.388447,5897.63,10267.8,8860.81,8342.07,0.564448,2729.5,3074.7,2101.64,2635.28,0.178311
leaf_tb1,9,9,450,450,42054.3,7277.78,15732.7,45628.4,22879.6,0.54405,22089.9,41850.6,33928.7,32623,0.775737,7117.65,4868.25,3904.97,5296.95,0.125955
leaf_tb1,8,9,450,400,14055.7,1452.19,3727.05,7517.22,4232.15,0.301099,3776.69,7886.87,6785.06,6149.54,0.437513,3245.13,2744.07,1720.41,2569.87,0.182835
leaf_tb1,8,8,400,400,17402.4,1283.63,5462.73,13881.7,6876.01,0.395118,7265.03,12348.7,10378.2,9997.31,0.574478,3044.29,2941.97,4001.91,3329.39,0.191318
leaf_tb1,8,7,350,400,13083,2738.35,9091.68,11769.2,7866.42,0.601271,4556.88,7580.84,8663.59,6933.77,0.529984,2353.84,3666.08,2294.03,2771.32,0.211826
leaf_tb1,8,6,300,400,23227.2,8163.34,11910.1,29123.1,16398.9,0.706021,7470.64,4057.79,26463.2,12663.9,0.545218,5998.1,6951.08,11993.1,8314.09,0.357947
leaf_tb1,8,5,250,400,14463.5,887.157,4170.98,11102,5386.71,0.372434,7507.87,10338.1,9853.16,9233.03,0.638367,3679.93,2857.88,2849.78,3129.2,0.216351
leaf_tb1,8,4,200,400,22274.1,10850.7,11289.7,38567.3,20235.9,0.908491,7433.66,4113.7,32440.4,14662.6,0.658278,7103.35,8498.8,13848.4,9816.85,0.440729
leaf_tb1,8,3,150,400,21150.2,8375.95,12359.1,36956.5,19230.5,0.909236,7522.25,4671.67,31963.5,14719.1,0.695934,9158.92,6255.77,14396.7,9937.12,0.469835
leaf_tb1,8,2,100,400,20235.6,8646.07,10588.7,30589.1,16608,0.820729,8313.3,6436.61,25212.7,13320.9,0.658288,8436.18,10297.3,12756,10496.5,0.518714
leaf_tb1,8,1,50,400,13178.7,1241.43,5362.81,10955.4,5853.21,0.444143,8376.12,14886.7,9075.02,10779.3,0.817935,4431.8,3152.09,1534.83,3039.57,0.230644
leaf_tb1,8,0,0,400,9584.64,1534.9,4528.24,6566.24,4209.79,0.439223,5334.84,8480.07,5937.79,6584.23,0.686957,2792.51,2374.11,2256.34,2474.32,0.258155
leaf_tb1,7,0,0,350,17688.2,1211.1,3763.92,17267,7414.02,0.419151,13312.6,23079.9,11317.4,15903.3,0.899091,3450.59,3616.08,1690.33,2919,0.165026
leaf_tb1,7,1,50,350,22875.7,11438.1,17875.8,45430.4,24914.8,1.08914,10965.4,3071.11,40670.7,18235.7,0.797166,9558.8,8329.58,14636.7,10841.7,0.47394
leaf_tb1,7,2,100,350,21333.8,11679,9876.59,34598.2,18717.9,0.877382,6730.41,3013.59,29653.8,13132.6,0.615576,7596.94,6236.38,13935.4,9256.24,0.433876
leaf_tb1,7,3,150,350,19238.8,8980.8,15115.5,39150.1,21082.1,1.09581,7297.81,3627.12,33233.1,14719.4,0.765086,9149.9,6735.04,14512.1,10132.3,0.52666
leaf_tb1,7,4,200,350,17449.5,5108.79,5685.99,18145.1,9646.62,0.552831,5663.42,3802.58,16362.6,8609.53,0.493397,5866.69,5672.79,9119.64,6886.37,0.394646
leaf_tb1,7,5,250,350,24858.7,10165.2,19731.7,41824.7,23907.2,0.961724,11124.3,4688.56,38917.6,18243.5,0.733888,7651.2,7754.36,12697.1,9367.56,0.376833
