wavenumber_cm-1,leaf_dq_median,leaf_dq_q25,leaf_dq_q75,leaf_dq_median_over_ink,leaf_dq_minus_control,leaf_tb1_median,leaf_tb1_q25,leaf_tb1_q75,leaf_tb1_median_over_ink,leaf_tb1_minus_control,leaf_thi2_median,leaf_thi2_q25,leaf_thi2_q75,leaf_thi2_median_over_ink,leaf_thi2_minus_control,cov3_median,cov3_q25,cov3_q75,cov3_median_over_ink,cov3_minus_control,leavesmix_median,leavesmix_q25,leavesmix_q75,leavesmix_median_over_ink,leavesmix_minus_control,leavesmix2peel_median,leavesmix2peel_q25,leavesmix2peel_q75,leavesmix2peel_median_over_ink,leavesmix2peel_minus_control,leavesmix2peel2_median,leavesmix2peel2_q25,leavesmix2peel2_q75,leavesmix2peel2_median_over_ink,leavesmix2peel2_minus_control
169.75,390.636,312.292,503.187,0.0218861,0.0176103,411.617,332.719,520.367,0.019665,0.0153892,227.274,162.633,280.045,0.0148817,0.0106059,85.4163,50.4187,118.879,0.00427586,0,903.778,498.362,1225.83,0.0812616,0.0769858,208.229,146.574,320.983,0.0252834,0.0210075,145.48,94.564,275.25,0.0105444,0.00626854
171.30,446.454,366.824,546.355,0.0250134,0.0216145,392.945,333.829,537.747,0.018773,0.0153741,232.643,189.355,315.339,0.0152333,0.0118344,67.898,29.9985,118.166,0.00339891,0,976.674,534.177,1317.2,0.0878159,0.084417,234.161,167.376,351.598,0.028432,0.0250331,174.821,118.556,318.626,0.012671,0.00927208
172.85,413.455,340.489,512.874,0.0231646,0.0180112,396.263,291.83,498.062,0.0189315,0.0137781,246.346,193.999,300.761,0.0161305,0.0109771,102.947,72.7636,158.288,0.00515343,0,970.76,504.177,1330.3,0.0872842,0.0821308,314.738,261.782,424,0.0382158,0.0330624,207.208,127.756,336.678,0.0150184,0.00986497
174.40,446.008,338.592,518.789,0.0249885,0.0169411,516.137,443.74,616.307,0.0246585,0.0166111,267.062,189.919,339.753,0.017487,0.00943962,160.757,124.642,205.593,0.00804736,0,1042.63,509.148,1425.41,0.0937465,0.0856992,326.965,274.918,448.011,0.0397004,0.0316531,203.832,131.717,356.808,0.0147737,0.00672634
175.95,452.738,351.422,544.867,0.0253655,0.0150954,602.615,507.147,681.185,0.02879,0.0185199,290.156,199.448,379.803,0.0189992,0.00872908,205.16,157.13,252.726,0.0102701,0,1093.64,543.947,1510.87,0.0983329,0.0880628,306.003,241.55,423.116,0.0371552,0.0268851,205.248,128.601,344.997,0.0148764,0.00460627
177.50,411.013,326.837,514.87,0.0230278,0.0117754,429.662,342.658,520.885,0.0205271,0.00927477,308.898,240.615,401.115,0.0202264,0.00897401,224.782,179.873,274.865,0.0112524,0,1066.55,526.301,1533.79,0.0958965,0.0846441,253.89,196.196,359.911,0.0308276,0.0195752,240.941,165.869,354.917,0.0174634,0.00621101
179.05,422.243,340.841,522.781,0.0236569,0.0125267,436.239,346.503,532.966,0.0208413,0.00971107,296.47,219.598,404.893,0.0194126,0.00828236,222.343,178.152,261.723,0.0111303,0,1180.72,605.271,1605.73,0.106162,0.0950319,234.191,172.396,345.783,0.0284357,0.0173055,208.999,135.319,324.541,0.0151482,0.00401796
180.60,448.458,365.945,557.267,0.0251257,0.0151122,463.369,364.325,551.571,0.0221375,0.0121239,300.115,205.263,401.48,0.0196513,0.00963771,200.035,157.351,249.565,0.0100136,0,1251.49,654.903,1695.51,0.112526,0.102512,248.715,182.198,371.884,0.0301993,0.0201857,191.546,92.7236,278.716,0.0138832,0.00386968
182.15,483.9,425.628,596.122,0.0271114,0.0181404,457.682,346.658,522.73,0.0218658,0.0128948,296.811,229.555,419.125,0.0194349,0.0104639,179.209,135.234,213.153,0.008971,0,1229.85,631.474,1712.03,0.11058,0.101609,303.535,231.161,438.711,0.0368555,0.0278845,154.899,68.9854,260.704,0.011227,0.00225602
183.70,506.528,432.096,589.866,0.0283792,0.0203201,416.302,329.661,503.939,0.0198889,0.0118297,272.55,172.954,373.574,0.0178463,0.00978723,160.992,121.882,189.26,0.00805911,0,1252.49,646.862,1711.25,0.112616,0.104557,320.283,256.771,443.965,0.0388891,0.03083,219.335,128.826,298.906,0.0158973,0.00783822
185.25,470.443,384.859,535.711,0.0263575,0.0193114,343.85,263.972,477.205,0.0164275,0.00938137,224.79,140.505,347.94,0.0147191,0.00767299,140.756,113.902,179.88,0.00704608,0,1226.55,665.803,1683.93,0.110283,0.103237,308.088,251.644,425.504,0.0374083,0.0303622,236.798,162.969,329.534,0.0171631,0.010117
186.80,352.097,265.993,431.804,0.0197269,0.0122446,281.527,186.423,405.398,0.01345,0.00596767,253.697,184.747,373.364,0.0166119,0.00912956,149.469,107.468,197.569,0.00748229,0,1134.48,613.987,1636.36,0.102005,0.0945228,257.401,205.21,364.934,0.0312539,0.0237716,183.802,122.981,258.842,0.013322,0.00583967
188.35,313.991,235.573,391.547,0.017592,0.0087746,322.65,212.721,402.722,0.0154146,0.00659727,290.425,208.897,416.582,0.0190168,0.0101994,176.139,135.2,205.566,0.00881736,0,1197.5,655.778,1638.39,0.107671,0.0988535,254.26,202.519,352.277,0.0308725,0.0220551,136.767,81.577,218.868,0.00991283,0.00109547
189.90,298.809,231.616,386.958,0.0167414,0.00747501,307.866,217.003,412.59,0.0147083,0.00544199,306.658,220.397,429.911,0.0200797,0.0108133,185.108,150.582,218.08,0.00926634,0,1195.12,642.478,1602.86,0.107457,0.0981911,263.501,210.481,362.279,0.0319946,0.0227282,127.68,59.288,195.473,0.00925423,-1.2114e-05
191.45,325.033,247.431,406.454,0.0182106,0.00851626,229.422,91.8334,357.605,0.0109607,0.00126633,281.498,196.531,394.843,0.0184322,0.00873789,193.658,141.457,234.146,0.00969433,0,1086.43,543.06,1523.63,0.097684,0.0879897,281.968,219.621,403.766,0.0342369,0.0245426,147.478,75.074,230.287,0.0106892,0.000994872
193.00,288.662,222.441,356.046,0.0161728,0.0107204,246.136,138.916,355.05,0.0117592,0.00630675,242.267,170.681,371.743,0.0158634,0.010411,108.92,77.013,142.467,0.00545244,0,957.785,483.592,1352.26,0.0861176,0.0806651,250.421,197.544,357.811,0.0304064,0.0249539,94.3929,49.6518,184.069,0.00684159,0.00138915
194.55,215.596,145.313,273.73,0.0120792,0.00970252,258.425,153.096,368.954,0.0123463,0.00996959,207.086,147.955,328.094,0.0135598,0.0111831,47.4776,26.6138,89.3426,0.00237668,0,863.67,427.795,1224.56,0.0776554,0.0752787,220.695,167.658,319.778,0.026797,0.0244203,53.4457,10.29,140.075,0.00387374,0.00149706
196.10,107.698,47.4196,183.121,0.00603399,0.00335853,260.824,119.115,386.547,0.0124609,0.00978544,169.094,103.121,281.52,0.0110721,0.00839668,53.4462,11.2544,81.6771,0.00267547,0,810.043,428.049,1146.5,0.0728336,0.0701581,195.511,130.396,281.971,0.0237392,0.0210637,37.9353,-26.2595,103.173,0.00274954,7.40788e-05
197.65,206.923,146.542,253.346,0.0115933,0.0126015,250.187,76.2155,346.834,0.0119527,0.0129609,147.379,74.1162,223.833,0.00965022,0.0106584,-20.1405,-53.1158,9.00248,-0.00100821,0,795.688,444.54,1121.18,0.0715429,0.0725511,191.502,143.546,260.297,0.0232524,0.0242606,26.7775,-15.9682,97.6043,0.00194083,0.00294904
199.20,177.921,136.861,243.478,0.00996834,0.0120378,204.77,60.6555,294.442,0.00978291,0.0118523,140.78,78.5047,223.283,0.00921817,0.0112876,-41.3398,-72.3264,-8.30937,-0.00206943,0,742.151,423.13,1034.88,0.0667292,0.0687986,154.808,111.481,218.411,0.0187969,0.0208664,24.0567,-20.384,77.9573,0.00174363,0.00381306
200.75,74.875,21.3587,137.227,0.00419501,0.00480991,128.875,12.2218,240.877,0.00615703,0.00677193,163.85,100.46,275.924,0.0107287,0.0113436,-12.2836,-53.4587,25.7716,-0.000614903,0,646.494,383.658,886.167,0.0581283,0.0587432,91.9601,38.6143,169.193,0.0111659,0.0117808,0.594214,-45.0823,57.076,4.30685e-05,0.000657971
202.30,19.2726,-28.3321,88.8004,0.00107978,0.00203937,125.981,5.50836,228.671,0.00601874,0.00697833,112.682,60.1415,192.823,0.0073783,0.00833789,-19.1692,-42.6845,19.8519,-0.000959592,0,511.477,293.915,724.7,0.0459885,0.0469481,150.23,97.7827,227.663,0.018241,0.0192006,-57.6504,-93.344,-16.9272,-0.00417849,-0.0032189
203.85,5.67367,-23.2925,72.5693,0.000317878,0.0016552,177.72,55.648,262.774,0.00849058,0.0098279,113.565,51.8694,158.133,0.00743611,0.00877344,-26.7149,-51.4622,7.3262,-0.00133732,0,433.859,254.272,616.828,0.0390097,0.040347,213.217,164.456,277.949,0.0258891,0.0272264,-28.9473,-78.6619,16.2714,-0.0020981,-0.000760776
205.40,57.5343,-11.0738,109.992,0.00322347,0.00528054,257.069,103.529,329.868,0.0122815,0.0143386,123.168,68.794,184.772,0.00806494,0.010122,-41.093,-68.8239,-2.61946,-0.00205707,0,381.478,246.82,560.082,0.0342999,0.036357,273.209,214.893,340.192,0.0331733,0.0352304,46.7401,-15.3559,89.2107,0.00338771,0.00544479
206.95,31.2301,-24.0784,116.684,0.00174972,0.0026625,137.156,15.9599,216.253,0.00655265,0.00746542,98.5747,45.0609,154.101,0.00645458,0.00736735,-18.2339,-52.8973,23.0279,-0.000912772,0,254.511,145.634,402.673,0.0228839,0.0237967,204.445,160.45,264.09,0.0248239,0.0257367,35.4002,-8.68805,85.696,0.0025658,0.00347858
