condition,regime,pair,component,DQ_uM,TBZ_uM,THI_uM,nominal_component_uM,apparent_single_calibration_uM,effective_response_factor_Q,log10_effective_response_factor
DQ12-TB3-TH6,low_ternary_64,DQ-TBZ-THI,TBZ,12,3,6,3,1.1281635206010687,0.3760545068670229,-0.4247492021044379
DQ12-TB3-TH6,low_ternary_64,DQ-TBZ-THI,THI,12,3,6,6,1.038215670471936,0.17303594507865602,-0.761863670699097
DQ12-TB6-TH24,low_ternary_64,DQ-TBZ-THI,DQ,12,6,24,12,1.0206859863708908,0.08505716553090757,-1.0702890939332668
DQ12-TB6-TH24,low_ternary_64,DQ-TBZ-THI,TBZ,12,6,24,6,0.984667357285813,0.16411122621430216,-0.7848617095248238
DQ12-TB6-TH24,low_ternary_64,DQ-TBZ-THI,THI,12,6,24,24,9.200726237482101,0.3833635932284209,-0.41638913300920416
DQ150-TB0-TH50,high_binary_21,DQ-THI,DQ,150,0,50,150,1.7085665630855273,0.011390443753903516,-1.9434593561564097
DQ150-TB0-TH50,high_binary_21,DQ-THI,THI,150,0,50,50,15.059793842508341,0.3011958768501668,-0.5211509776024027
DQ24-TB12-TH12,low_ternary_64,DQ-TBZ-THI,DQ,24,12,12,24,2.8122571653145645,0.11717738188810685,-0.9311562097271241
DQ24-TB12-TH12,low_ternary_64,DQ-TBZ-THI,TBZ,24,12,12,12,1.687673562713161,0.14063946355943008,-0.8518927987949314
DQ24-TB12-TH12,low_ternary_64,DQ-TBZ-THI,THI,24,12,12,12,20.336778615317176,1.6947315512764314,0.22910091490928428
