DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_pls_Z2
52,18,30,0.5757
52,20,28,0.5869
52,22,26,0.5992
52,24,24,0.6121
52,26,22,0.6252
52,28,20,0.6378
52,30,18,0.6493
52,32,16,0.6594
52,34,14,0.6674
52,36,12,0.6731
52,38,10,0.6764
52,40,8,0.6774
52,42,6,0.6767
52,44,4,0.6752
52,46,2,0.6739
52,48,0,0.6733
54,0,46,0.5888
54,2,44,0.5716
54,4,42,0.5591
54,6,40,0.5517
54,8,38,0.5486
54,10,36,0.5493
54,12,34,0.5531
54,14,32,0.5596
54,16,30,0.5685
54,18,28,0.5795
54,20,26,0.5922
54,22,24,0.6063
54,24,22,0.6213
54,26,20,0.6365
54,28,18,0.6514
54,30,16,0.6652
54,32,14,0.6771
54,34,12,0.6868
54,36,10,0.6937
54,38,8,0.6978
54,40,6,0.6995
54,42,4,0.6993
54,44,2,0.6981
54,46,0,0.6967
56,0,44,0.5785
56,2,42,0.5645
56,4,40,0.5546
56,6,38,0.5488
56,8,36,0.5469
56,10,34,0.5483
56,12,32,0.5528
56,14,30,0.5602
56,16,28,0.5702
56,18,26,0.5826
56,20,24,0.5971
56,22,22,0.6133
56,24,20,0.6307
56,26,18,0.6486
56,28,16,0.666
56,30,14,0.6821
56,32,12,0.6961
56,34,10,0.7072
56,36,8,0.715
56,38,6,0.7197
56,40,4,0.7215
56,42,2,0.7212
56,44,0,0.7195
58,0,42,0.5691
58,2,40,0.5575
58,4,38,0.5495
58,6,36,0.545
58,8,34,0.5439
58,10,32,0.5459
58,12,30,0.5511
58,14,28,0.5593
58,16,26,0.5705
58,18,24,0.5846
58,20,22,0.6013
58,22,20,0.6201
58,24,18,0.6404
58,26,16,0.6612
58,28,14,0.6815
58,30,12,0.7
58,32,10,0.7158
58,34,8,0.728
58,36,6,0.7363
58,38,4,0.7407
58,40,2,0.742
58,42,0,0.7409
60,0,40,0.5599
60,2,38,0.5501
60,4,36,0.5433
60,6,34,0.5396
60,8,32,0.539
60,10,30,0.5416
60,12,28,0.5473
60,14,26,0.5565
60,16,24,0.5691
60,18,22,0.5852
60,20,20,0.6045
60,22,18,0.6264
60,24,16,0.65
60,26,14,0.6742
60,28,12,0.6975
60,30,10,0.7184
60,32,8,0.7356
60,34,6,0.7483
60,36,4,0.7562
60,38,2,0.7597
60,40,0,0.7597
62,0,38,0.5503
62,2,36,0.5416
62,4,34,0.5356
62,6,32,0.5323
62,8,30,0.5318
62,10,28,0.5346
62,12,26,0.5409
62,14,24,0.5511
62,16,22,0.5655
62,18,20,0.5841
62,20,18,0.6065
62,22,16,0.6319
62,24,14,0.6594
62,26,12,0.6872
62,28,10,0.7135
62,30,8,0.7365
62,32,6,0.7545
62,34,4,0.7668
62,36,2,0.7734
62,38,0,0.7752
64,0,36,0.5396
64,2,34,0.5316
64,4,32,0.5258
64,6,30,0.5223
64,8,28,0.5216
64,10,26,0.5243
64,12,24,0.5312
64,14,22,0.5427
64,16,20,0.5593
64,18,18,0.5808
64,20,16,0.6068
64,22,14,0.6363
64,24,12,0.6681
64,26,10,0.6998
64,28,8,0.7291
64,30,6,0.7535
64,32,4,0.7712
64,34,2,0.7819
64,36,0,0.7862
66,0,34,0.5275
66,2,32,0.5194
66,4,30,0.5132
66,6,28,0.509
66,8,26,0.5076
66,10,24,0.5102
66,12,22,0.5177
66,14,20,0.5309
66,16,18,0.55
66,18,16,0.5749
66,20,14,0.605
66,22,12,0.6392
66,24,10,0.6756
66,26,8,0.7114
66,28,6,0.7432
66,30,4,0.7679
66,32,2,0.7839
66,34,0,0.7916
68,0,32,0.5132
68,2,30,0.5046
68,4,28,0.4972
68,6,26,0.4915
68,8,24,0.4891
68,10,22,0.4916
68,12,20,0.5002
68,14,18,0.5154
68,16,16,0.5373
68,18,14,0.5659
68,20,12,0.6005
68,22,10,0.6399
68,24,8,0.6814
68,26,6,0.7212
68,28,4,0.7545
68,30,2,0.7776
68,32,0,0.7899
70,0,30,0.4964
70,2,28,0.4864
70,4,26,0.4767
70,6,24,0.469
70,8,22,0.4656
70,10,20,0.4685
70,12,18,0.4785
70,14,16,0.4959
70,16,14,0.5209
70,18,12,0.5532
70,20,10,0.5925
70,22,8,0.6373
70,24,6,0.6843
70,26,4,0.7276
70,28,2,0.7604
70,30,0,0.7791
72,0,28,0.4762
72,2,26,0.4635
72,4,24,0.4505
72,6,22,0.4407
72,8,20,0.4373
72,10,18,0.4414
72,12,16,0.4531
72,14,14,0.4726
72,16,12,0.4999
72,18,10,0.5355
72,20,8,0.5793
72,22,6,0.6297
72,24,4,0.6823
72,26,2,0.7281
72,28,0,0.7563
74,0,26,0.4514
74,2,24,0.434
74,4,22,0.4176
74,6,20,0.4076
74,8,18,0.4056
74,10,16,0.4114
74,12,14,0.4246
74,14,12,0.4451
74,16,10,0.4736
74,18,8,0.5112
74,20,6,0.5586
74,22,4,0.6142
74,24,2,0.672
74,26,0,0.7162
76,0,24,0.4178
76,2,22,0.3963
76,4,20,0.3802
76,6,18,0.3726
76,8,16,0.3732
76,10,14,0.3805
76,12,12,0.3936
76,14,10,0.413
76,16,8,0.4403
76,18,6,0.4779
76,20,4,0.5271
76,22,2,0.5855
76,24,0,0.6428
78,0,22,0.3773
78,2,20,0.356
78,4,18,0.3435
78,6,16,0.3404
78,8,14,0.3434
78,10,12,0.3502
78,12,10,0.3605
78,14,8,0.3757
78,16,6,0.399
78,18,4,0.4341
78,20,2,0.4828
78,22,0,0.5397
80,0,20,0.3385
80,2,18,0.3205
80,4,16,0.3148
