raman_shift_cm-1,DQ12_TBZ6_THI3_raw_l2_sg11_mean,DQ12_TBZ6_THI3_raw_l2_sg11_std,DQ12_TBZ6_THI3_preprocessed_sg11_mean,DQ12_TBZ6_THI3_preprocessed_sg11_std,DQ24_TBZ12_THI6_raw_l2_sg11_mean,DQ24_TBZ12_THI6_raw_l2_sg11_std,DQ24_TBZ12_THI6_preprocessed_sg11_mean,DQ24_TBZ12_THI6_preprocessed_sg11_std
2883.8,0.01028107115792513,0.0018383462638516352,0.009519610559590047,0.0017995221971246593,0.0053946072750242135,0.000631292444813799,0.004832922959757161,0.0006457127632369412
2885.35,0.010832958972969644,0.0019146688682637346,0.01013539947383717,0.0018892791433735626,0.005725278386551246,0.0006528665044939862,0.005185270376533307,0.0006628849356142714
2886.9,0.01116270529318265,0.0018882230585064326,0.010491755773400701,0.0018493515693848613,0.006098811405749868,0.0006459782948167695,0.005584825661236621,0.0006437730561091653
2888.45,0.011335018720332846,0.0020331322165467102,0.010679509710825335,0.0020114962475757717,0.006309762951239387,0.0006255774568325635,0.005808022925651358,0.0006157406382827352
2890.0,0.011172469417724236,0.001995400956263601,0.010493205528972429,0.0019836783382185257,0.006375731240350805,0.0006037812222055125,0.005873989445947225,0.0005924379958177397
2891.55,0.01094225892510178,0.0019138752285284936,0.010230212521775138,0.0018963703994083207,0.0065374013097965165,0.0006360188726911599,0.0060447282566098715,0.0006303825871807498
2893.1,0.01094268459010777,0.0019440448156577725,0.010226290806731486,0.0019174998953835033,0.006783461725001567,0.0006721824683541097,0.0063076476269144435,0.0006696958553598577
2894.65,0.01024138446575605,0.001831695753321256,0.009435807796357939,0.0017973877389561945,0.006857111378254411,0.0007147818675873988,0.00638365076946463,0.0007152001385946213
2896.2,0.010748810268592115,0.0019317375435152636,0.01000134925988454,0.001899464438984809,0.006955207807693558,0.0007573221885179953,0.006486494259006081,0.0007611785526023362
2897.75,0.010488431261278503,0.0018086424013622007,0.009707578114408241,0.0017564260912974034,0.007344548644509135,0.0008306957523622028,0.006906763312497043,0.0008373471418979895
2899.3,0.010656516095089155,0.0018845196591563114,0.009894507406938546,0.001834030107064721,0.007571944864023727,0.0008641409120014735,0.0071515031723922325,0.0008766495359304229
