raman_shift_cm-1,measured_raw,preprocessed,dominant_component_fit,residual
1787.95,356.1464963958459,0.006305427221985392,0.0020001205800814757,0.0043053066419039155
1789.5,305.0156356066078,0.00538424767579516,0.0018662189161480125,0.0035180287596471476
1791.05,256.98886614196726,0.0045170867628288565,0.0017120579247839195,0.002805028838044937
1792.6,223.96366853348255,0.0039108939540564835,0.0016440200877000644,0.002266873866356419
1794.15,228.59023048365464,0.003959639755983807,0.0011739162682270902,0.0027857234877567165
1795.7,268.1441633532959,0.004615955100305699,0.0012262332192695664,0.003389721881036133
1797.25,267.8019723318568,0.004578453106413378,0.0013888193682935763,0.0031896337381198013
1798.8,231.97359616869585,0.003923850973431577,0.0011311440559825623,0.002792706917449015
1800.35,266.13851857984486,0.004486764761786592,0.0013967496193915032,0.0030900151423950886
1801.9,300.36081782105083,0.00505081567894115,0.0012912730399387011,0.003759542639002449
1803.45,184.59876534984613,0.003006346782899084,0.0012437119335011989,0.0017626348493978853
1805.0,139.03031239377236,0.002182919515092236,0.0012848627953543738,0.0008980567197378621
1806.55,118.52094311835774,0.0017955238775709025,0.0007724521994595981,0.0010230716781113045
1808.1,199.84705714403663,0.003179542254509475,0.0007583903843701923,0.002421151870139283
1809.65,194.27649159120125,0.0030523750301864527,0.000457016012635248,0.0025953590175512046
1811.2,112.70601186927196,0.0016035617491142848,0.0005174330162469631,0.0010861287328673217
1812.75,176.26134200794198,0.002679147112677123,0.0005006390950695504,0.0021785080176075725
1814.3,192.31488454055116,0.0029287775541146197,0.0004968686059036294,0.00243190894821099
1815.85,164.0017566273424,0.002406993788048928,0.000310526837931328,0.0020964669501176
1817.4,165.58417616124845,0.0024054475934796402,0.00031138643280620676,0.0020940611606734333
1818.95,140.92482763524964,0.0019477556515555743,0.0003235754823213339,0.0016241801692342404
1820.5,151.45019461717465,0.002102317749022703,0.0002935132298898554,0.0018088045191328476
1822.05,219.84718504321535,0.003263737294744562,0.0002831175336146979,0.0029806197611298643
1823.6,248.11304908604728,0.0037274661823726465,0.00024723171711831074,0.003480234465254336
1825.15,242.42661041588224,0.0036009827096835805,0.0004088785026399811,0.0031921042070435996
1826.7,178.54917106805257,0.002462713833982906,8.428320135234426e-06,0.0024542855138476715
1828.25,209.4404299157334,0.0029730921242854588,0.00034957279906458667,0.0026235193252208723
1829.8,122.02216172615039,0.001426064155526533,0.00019402219546232189,0.001232041960064211
1831.35,172.14420953930605,0.002271626895155585,0.0,0.002271626895155585
1832.9,98.15091756813351,0.0009588208033378716,6.889661613588481e-05,0.0008899241872019868
