condition,fold,true_DQ_pct,true_TBZ_pct,true_THI_pct,nnls_DQ_pct,nnls_TBZ_pct,nnls_THI_pct,nnls_error_pct,physics_DQ_pct,physics_TBZ_pct,physics_THI_pct,physics_error_pct,rescue_gain_pct_point,eligible_physics_error_lt5
DQ3-TBZ6-THI12,2,14.285715,28.57143,57.14286,29.654364544488747,19.651138512928643,50.69449694249535,15.368651855371079,25.951641,35.743095,38.305264,18.83759117126465,-3.4689393158935697,False
DQ6-TBZ12-THI24,3,14.285715,28.57143,57.14286,7.823689316985089,21.30217188139389,70.87413880153471,13.731281339410128,26.387253,34.11212,39.500626,17.64223289489746,-3.9109515554873333,False
DQ24-TBZ6-THI3,2,72.72727,18.181818,9.090909,61.40295188424292,27.81654231392902,10.780505801736561,11.324321520309569,57.267963,28.267393,14.464649,15.459312438964844,-4.134990918655275,False
DQ3-TBZ6-THI3,4,25.0,50.0,25.0,27.634749554944843,46.427491991290594,25.93775845367457,3.57250800866441,33.618073,42.01588,24.366055,8.61806869506836,-5.045560686403949,False
DQ12-TBZ24-THI12,4,25.0,50.0,25.0,0.0,62.775471663468,37.224528336449545,24.99999999995877,7.988967,80.08579,11.925244,30.085790634155273,-5.085790634196503,False
DQ12-TBZ6-THI12,4,40.0,20.0,40.0,25.267791053046995,34.948936591227955,39.78327235563987,14.94893703830538,49.661884,31.108236,19.229883,20.770116806030273,-5.821179767724894,False
DQ3-TBZ3-THI12,4,16.666668,16.666668,66.66667,28.241109791689027,21.005011857940342,50.75387835028441,15.912788813044521,28.060669,27.31308,44.62625,22.040416717529297,-6.1276279044847755,False
DQ3-TBZ24-THI3,1,10.0,80.0,10.0,30.831378151689435,57.28206849081151,11.886553357407275,22.717931956177438,31.30339,50.38766,18.308949,29.61233901977539,-6.894407063597953,False
DQ6-TBZ12-THI3,2,28.57143,57.14286,14.285715,32.90664886263624,53.070753463462864,14.022597673807718,4.33522124918605,35.3053,45.542713,19.151985,11.600143432617188,-7.264922183431137,False
DQ24-TBZ6-THI12,1,57.14286,14.285715,28.57143,53.2389491370761,11.69303820133921,35.068012661497534,6.496585048044332,71.06193,9.82234,19.115732,13.91907024383545,-7.4224851957911175,False
DQ12-TBZ12-THI24,4,25.0,25.0,50.0,16.081761151936682,22.679179151245577,61.23905969673372,11.239059696775731,33.55893,35.956078,30.484995,19.51500701904297,-8.275947322267237,False
DQ3-TBZ24-THI24,3,5.882353,47.058823,47.058823,8.77103126261442,38.62058746580146,52.608381271502736,8.438236052612877,15.390459,55.149532,29.460012,17.598812103271484,-9.160576050658607,False
DQ3-TBZ24-THI12,4,7.692308,61.538464,30.769232,3.7291703515924293,71.94901294835394,24.32181669996774,10.41055098009416,6.806241,81.55853,11.635232,20.02006721496582,-9.609516234871661,False
DQ24-TBZ3-THI3,2,80.0,10.0,10.0,61.33192622460495,23.131519757193402,15.536554018110735,18.66807422238443,51.58668,30.349659,18.063658,28.413318634033203,-9.745244411648773,False
DQ6-TBZ6-THI12,3,25.0,25.0,50.0,22.150776945697444,26.178459946904386,51.67076310731274,2.849223054259838,27.652248,35.097652,37.250095,12.749902725219727,-9.900679670959889,False
DQ6-TBZ12-THI6,1,25.0,50.0,25.0,30.92997725356134,53.23288999001531,15.837132756330922,9.162867243622864,44.24792,34.7969,20.95518,19.2479190826416,-10.085051839018737,False
DQ12-TBZ24-THI3,1,30.769232,61.538464,7.692308,18.300300527192846,71.06152274515442,10.638176727560081,12.468929525589619,58.323204,32.815258,8.861545,28.723207473754883,-16.254277948165264,False
DQ3-TBZ6-THI24,2,9.090909,18.181818,72.72727,22.140724693678195,10.65778491111372,67.20149039512002,13.04981682199905,34.183163,22.417835,43.399,29.32827377319336,-16.278456951194308,False
DQ6-TBZ6-THI24,2,16.666668,16.666668,66.66667,20.969899454203993,15.083414644292242,63.94668590141708,4.303233780991417,22.994154,31.320757,45.68509,20.981576919555664,-16.678343138564248,False
DQ12-TBZ24-THI24,4,20.0,40.0,40.0,12.866759238452701,45.52266513290179,41.610575628564725,7.133240314472072,26.059738,59.299053,14.641209,25.358789443969727,-18.225549129497654,False
