raman_shift_cm-1,compound,normalized_abs_IG,within_10cm-1_of_VIP
1423.7,DQ,0.00024989428,0
1425.25,DQ,0.00015377962,0
1426.8,DQ,0.0011552952,0
1428.35,DQ,0.0066000209,0
1429.9,DQ,0.0013408618,0
1431.45,DQ,0.01125459,0
1433,DQ,0.0075417468,0
1434.55,DQ,0.0037554335,0
1436.1,DQ,0.0027623645,0
1437.65,DQ,0.00080903323,0
1439.2,DQ,0.0057943668,0
1440.75,DQ,0.0084734578,0
1442.3,DQ,0.047656905,0
1443.85,DQ,0.011881844,0
1445.4,DQ,0.010043079,0
1446.95,DQ,0.020614119,0
1448.5,DQ,0.058355793,0
1450.05,DQ,0.055181652,0
1451.6,DQ,0.0070224083,0
1453.15,DQ,0.035948213,0
1454.7,DQ,0.00098535651,0
1456.25,DQ,0.030343268,0
1457.8,DQ,0.002482262,0
1459.35,DQ,0.043211069,0
1460.9,DQ,0.023443831,0
1462.45,DQ,0.030123895,0
1464,DQ,0.0048233652,0
1465.55,DQ,0.0040969532,0
1467.1,DQ,0.010858288,0
1468.65,DQ,0.02629026,0
1470.2,DQ,0.026854787,0
1471.75,DQ,0.023855988,0
1473.3,DQ,0.019505359,0
1474.85,DQ,0.029488128,0
1476.4,DQ,0.037664134,0
1477.95,DQ,0.07533931,0
1479.5,DQ,0.039097954,0
1481.05,DQ,0.067840561,0
1482.6,DQ,0.14026457,0
1484.15,DQ,0.032713097,0
1485.7,DQ,0.037195604,0
1487.25,DQ,0.070577331,0
1488.8,DQ,0.072048038,0
1490.35,DQ,0.036087129,0
1491.9,DQ,0.0027356884,0
1493.45,DQ,0.23229782,0
1495,DQ,0.1131974,0
1496.55,DQ,0.29123473,0
1498.1,DQ,0.023377633,0
1499.65,DQ,0.26870143,0
1501.2,DQ,0.44015363,0
1502.75,DQ,0.21135432,0
1504.3,DQ,0.17933215,0
1505.85,DQ,0.32451671,0
1507.4,DQ,0.25106609,0
1508.95,DQ,0.30599141,0
