raman_shift_cm-1,observed_normalized,fitted_THI_component,residual_after_THI
757.2,0.0026076314915405518,0.0009231458446041301,0.0016844856469364216
758.75,0.0028422100878041294,0.0010079794410388857,0.0018342306467652436
760.3,0.0032918156159603166,0.0012733682896709773,0.0020184473262893393
761.85,0.003501371304152659,0.0013158973278241655,0.002185473976328493
763.4,0.003326214877664535,0.0009520612306104804,0.0023741536470540544
764.95,0.0032881875100829747,0.0007258453466887769,0.002562342163394198
766.5,0.0035069208182891424,0.0007760830232155392,0.002730837795073603
768.05,0.0036473648785651787,0.0006855796571477231,0.0029617852214174553
769.6,0.0040068528961403034,0.0007668334514783392,0.003240019444661964
771.15,0.004398829026495716,0.0008610481857092516,0.0035377808407864647
772.7,0.004642019860417743,0.0008059482418354823,0.003836071618582261
774.25,0.004840125901163437,0.0006969215787824178,0.00414320432238102
775.8,0.0047020697424918975,0.0002615118724691971,0.0044405578700227
777.35,0.004700894740841425,0.0,0.004700894740841425
778.9,0.005122401625646748,0.00019977580498038838,0.00492262582066636
780.45,0.005736600284538807,0.0006819025633301876,0.005054697721208619
782.0,0.006112047847749885,0.0010315574824520536,0.005080490365297831
783.55,0.006128405996921879,0.001063922126644137,0.005064483870277742
785.1,0.005826901192513353,0.000819798129484088,0.005007103063029265
786.65,0.0053649299730674505,0.0005925373818712421,0.004772392591196209
788.2,0.004908830712489737,0.0004764830058344066,0.00443234770665533
789.75,0.0045928845458166586,0.0006907695735980303,0.0039021149722186284
791.3,0.004306420321276966,0.0010904196486644124,0.0032160006726125534
792.85,0.0035891925843877085,0.0010593984386273409,0.0025297941457603675
794.4,0.0028376429915492767,0.0009289460948905788,0.001908696896658698
795.95,0.0023860319186617437,0.0009419791731651811,0.0014440527454965626
797.5,0.0021158419026035633,0.001014324571943693,0.0011015173306598704
799.05,0.001649272073560566,0.000820508127182829,0.0008287639463777371
800.6,0.0013004105708908668,0.0007049305668294156,0.0005954800040614512
802.15,0.0011683012607084198,0.000790065117320898,0.0003782361433875218
803.7,0.0010313044335212432,0.0008286565165208041,0.00020264791700043915
805.25,0.0005842410049010799,0.0005619454658657162,2.229553903536363e-05
806.8,0.0003610808779251897,0.000438735093904915,0.0
808.35,0.0004356624229759961,0.0005915738452902885,0.0
809.9,0.00052952142701358,0.0007411529796181256,0.0
811.45,0.0004194508754975785,0.0006698474704683125,0.0
813.0,0.0,0.0002840933483531572,0.0
